referencia,organismo,estado,tipo_subasta,fecha_inicio,fecha_conclusion,lotes,valor_subasta_eur,tasacion_eur,puja_minima_eur,tramo_pujas_eur,deposito_eur,descuento_pct,duracion_dias
SUB-AT-2025-25R0886001403,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,6093.39,7616.74,609.34,500.0,304.66,20.0,20.0
SUB-AT-2025-25R3986001053,U.R. SUBASTAS CANTABRIA - SANTANDER (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,75327.63,90167.88,7532.76,2000.0,3766.38,16.46,20.0
SUB-AT-2025-25R4786001086,U.R. SUBASTAS CASTILLA Y LEON - VALLADOLID (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,42149.82,81500.0,,1000.0,2107.49,48.28,20.0
SUB-AT-2025-25R4786001236,U.R. SUBASTAS CASTILLA Y LEON - VALLADOLID (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,76810.24,94737.95,7681.02,2000.0,3840.51,18.92,20.0
SUB-AT-2025-25R0886001443,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,25200.0,42000.0,2520.0,500.0,1260.0,40.0,20.0
SUB-AT-2025-25R0886001529,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,140948.89,204258.02,14094.89,2000.0,7047.44,30.99,20.0
SUB-RC-2025-2959000125M09,Agencia Pública de Servicios Económicos Provinciales de Málaga-Patronato de Recaudación Provincial - Málaga (Diputación de Málaga),Finalizada y depósitos con reserva devueltos,RECAUDACIÓN TRIBUTARIA,2025-10-28,2025-11-17,1,64013.03,80016.29,32006.52,1280.26,3200.65,20.0,20.0
SUB-AT-2025-25R2986001180,U.R. SUBASTAS ANDALUCIA 29 - MALAGA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,90987.12,113733.9,9098.71,2000.0,4549.35,20.0,20.0
SUB-AT-2025-25R4186001595,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,74945.91,92408.08,7494.59,2000.0,3747.29,18.9,20.0
SUB-AT-2025-25R4586001167,U.R. SUBASTAS CASTILLA-MANCHA - TOLEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,23842.03,39736.73,2384.2,500.0,1192.1,40.0,20.0
SUB-AT-2025-25R4786001115,U.R. SUBASTAS CASTILLA Y LEON - VALLADOLID (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-18,1,18004.0,22505.0,1800.4,500.0,900.2,20.0,21.0
SUB-AT-2025-25R4786001218,U.R. SUBASTAS CASTILLA Y LEON - VALLADOLID (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-18,1,45689.67,76149.46,4568.96,1000.0,2284.48,40.0,21.0
SUB-AT-2025-25R2986001168,U.R. SUBASTAS ANDALUCIA 29 - MALAGA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-18,1,62842.59,182092.16,,2000.0,3142.12,65.49,21.0
SUB-AT-2025-25R3986001060,U.R. SUBASTAS CANTABRIA - SANTANDER (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-18,1,203969.28,287821.66,,2000.0,10198.46,29.13,21.0
SUB-RC-2025-2873000125008,Ayuntamiento de Humanes - Humanes de Madrid,Finalizada y depósitos con reserva devueltos,RECAUDACIÓN TRIBUTARIA,2025-10-28,2025-11-18,1,16038.31,153600.0,,500.0,801.92,89.56,21.0
SUB-AT-2025-25R4186001528,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-18,1,50017.98,116234.51,,1000.0,2500.89,56.97,21.0
SUB-AT-2025-25R0886001282,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-14,2025-11-18,1,306182.01,510303.36,30618.2,2000.0,15309.1,40.0,35.0
SUB-RC-2025-0026I20240324,Suma Gestión Tributaria. Diputación de Alicante - ALACANT/ALICANTE (Suma Gestión Tributaria),Cancelada,RECAUDACIÓN TRIBUTARIA,,,1,69798.49,91992.8,34899.25,3000.0,3489.92,24.13,
SUB-RC-2025-0026I20250159,Suma Gestión Tributaria. Diputación de Alicante - ALACANT/ALICANTE (Suma Gestión Tributaria),Finalizada y depósitos con reserva devueltos,RECAUDACIÓN TRIBUTARIA,2025-10-30,2025-11-19,1,20085.12,33475.2,2008.51,1000.0,1004.26,40.0,20.0
SUB-RC-2025-0026I20250097,Suma Gestión Tributaria. Diputación de Alicante - ALACANT/ALICANTE (Suma Gestión Tributaria),Finalizada y depósitos con reserva devueltos,RECAUDACIÓN TRIBUTARIA,2025-10-30,2025-11-19,1,5204.16,6505.2,520.42,300.0,260.21,20.0,20.0
SUB-RC-2025-0026I20250117,Suma Gestión Tributaria. Diputación de Alicante - ALACANT/ALICANTE (Suma Gestión Tributaria),Finalizada y depósitos con reserva devueltos,RECAUDACIÓN TRIBUTARIA,2025-10-30,2025-11-19,1,6917.6,11529.34,691.76,1000.0,345.88,40.0,20.0
